b1,b2,b3,b4,b5,b6,b7,b8
142.7407836,31.86453305,16.23014706,82.95979559,136.1674089,86.71295775,26.22860072,63.26329313
184.6327697,52.58321675,24.41723509,142.6057715,189.6730835,133.2835459,35.75595469,99.70027622
205.099109,78.4861497,31.4128112,188.7982699,216.2576589,169.1721359,33.99001784,177.2740807
228.2720606,95.7298045,35.36299475,208.3219133,230.6152194,186.0816157,29.31980717,306.9469831
231.5352438,121.6758981,38.05156706,219.593853,237.0742074,202.0681398,46.19043085,353.2723291
89.83410294,48.94843173,12.5832646,70.16010872,111.6590381,68.20170418,37.99198973,316.3475621
88.86207968,54.7065888,22.73849191,75.04088052,136.3349001,76.51271202,34.80151399,339.862888
112.6925946,53.40977098,19.74962372,87.0307565,128.1295742,85.92224682,30.31692483,291.1558553
142.6027071,57.25370113,20.70877676,86.98573363,98.03192728,91.6622011,36.41526688,346.120618
140.4893155,58.68071138,21.54231227,82.27570953,74.54816362,100.7894964,30.24833446,396.0959409
159.573737,55.44889002,19.5964563,84.11751871,73.18928879,93.4768032,28.4962525,361.7343909
20.01342997,13.22210957,8.304077774,38.52836548,14.291335,17.71890661,5.163974665,77.73913243
47.02171494,24.11843686,15.98329046,47.87878006,25.2379217,53.01711047,12.97352349,149.5865777
54.69382966,31.26497042,17.0707958,55.08107671,20.41902702,62.86356651,20.67130046,168.3011637
75.30293971,34.17209935,17.1739523,50.22814979,23.32912577,55.07326502,23.99664144,177.2477344
79.82794489,30.92647535,9.851069196,37.30726309,27.3202786,52.56977556,29.25579887,206.0222803
84.94391999,26.07312502,7.08816904,25.99334826,30.47920355,64.49264758,32.2630808,210.0978186
138.9012798,31.47209642,13.21459493,32.98925695,63.70643715,109.4685541,55.48301367,416.5495229
101.2520386,21.39506967,8.827011363,15.10985097,63.09122134,61.51441321,40.34640855,317.0847035
61.55265887,13.09786396,6.262697269,10.4160741,30.31353874,23.65055968,26.46110994,200.6669236
37.91005708,15.29227379,6.861557168,20.67403083,38.23093539,15.44977474,23.01063206,191.790126
58.62605806,19.82042091,11.62475686,28.39336509,43.06852452,19.84445485,24.41899786,188.9251099
77.49342881,25.50898718,14.0248574,36.65724346,49.22414149,32.76377201,24.53179501,174.4350384
30.23843534,15.02466968,5.852414647,19.20295537,35.06795495,24.27104662,17.37276087,49.82130102
43.89730008,32.16660609,15.29818546,35.60839695,57.00778659,37.32063923,23.56307109,65.59850371
53.40913299,48.6589393,21.55653765,65.71671636,62.42776184,43.96883706,34.93041297,98.86529458
78.3777715,56.78835815,26.57237639,72.42356945,86.61901784,56.30830402,29.26643559,153.4671707
87.90307052,77.1516942,24.92464625,68.772857,88.3627712,60.21964855,30.25822179,166.2622585
103.3777483,55.03207535,18.42579197,69.56678619,99.03051163,65.48414144,33.88384767,220.3318008
53.28663867,37.54842423,7.18955386,37.35209787,47.21281838,36.39161368,11.44520568,110.3108542
54.00041052,45.04742547,16.76611768,55.29898102,71.43930585,42.14533661,9.439190835,147.6702588
75.68301604,46.84427385,17.50545523,82.66152547,78.24654663,45.87117495,16.88399345,162.9142649
92.42889591,49.30113965,18.77442754,87.80371631,54.9361186,45.19568897,24.6708228,226.9279941
88.00956292,51.1320483,21.81219792,91.25799937,40.04526446,46.90276777,19.57002717,270.6883569
104.0267151,51.74711439,20.79408628,97.04190695,43.65100537,44.66677393,16.73530796,272.4146323
109.468542,65.08480047,20.43846421,131.3554091,46.48310943,68.53126692,20.44162917,357.5473965
104.7557522,59.4576613,18.97404796,114.6655749,52.26724311,90.3571785,25.32921877,398.1293536
103.9946925,53.76034367,18.98906774,93.49903536,44.89448848,80.89638108,28.13361105,406.2922819
110.8336254,55.187433,23.39930351,87.05415752,44.75029472,65.31904669,31.05613075,354.1621123
94.3435215,52.51878357,16.71618669,61.59653459,47.22835985,59.57615199,37.05845224,356.8794307
93.11498448,52.74991153,12.19735273,43.87828572,46.53968729,69.41169488,38.11973014,344.0976378
19.83885369,4.210548453,3.499973192,10.62650059,18.59616779,23.76855627,10.5604356,112.438179
