year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_
2018,14-Jan-18,6,,
2018,14-Jan-18,7,0.3,6
2018,14-Jan-18,8,13.035,505
2018,14-Jan-18,9,102.363,665
2018,14-Jan-18,10,280.018,797
2018,14-Jan-18,11,440.363,853
2018,14-Jan-18,12,516.495,865
2018,14-Jan-18,13,523.27,876
2018,14-Jan-18,14,456.569,855
2018,14-Jan-18,15,304.281,808
2018,14-Jan-18,16,119.431,663
2018,14-Jan-18,17,9.584,481
2018,14-Jan-18,18,,
2018,14-Jan-18,19,,
2018,14-Jan-18,20,,
2018,14-Jan-18,21,,
2018,14-Jan-18,22,,
2018,14-Jan-18,23,,
2018,14-Jan-18,24,,
2018,15-Jan-18,1,,
2018,15-Jan-18,2,,
2018,15-Jan-18,3,,
2018,15-Jan-18,4,,
2018,15-Jan-18,5,,
2018,15-Jan-18,6,,
2018,15-Jan-18,7,0.287,6
2018,15-Jan-18,8,5.193,349
2018,15-Jan-18,9,64.21,553
2018,15-Jan-18,10,150.157,607
2018,15-Jan-18,11,203.672,643
2018,15-Jan-18,12,150.462,605
2018,15-Jan-18,13,110.716,590
2018,15-Jan-18,14,81.799,578
2018,15-Jan-18,15,53.576,559
2018,15-Jan-18,16,21.084,542
2018,15-Jan-18,17,0.686,163
2018,15-Jan-18,18,,
2018,15-Jan-18,19,,
2018,15-Jan-18,20,,
2018,15-Jan-18,21,,
2018,15-Jan-18,22,,
2018,15-Jan-18,23,,
2018,15-Jan-18,24,,
2018,16-Jan-18,1,,
2018,16-Jan-18,2,,
2018,16-Jan-18,3,,
2018,16-Jan-18,4,,
2018,16-Jan-18,5,,
2018,16-Jan-18,6,,
2018,16-Jan-18,7,0.266,6
2018,16-Jan-18,8,13.011,516
2018,16-Jan-18,9,96.31,572
2018,16-Jan-18,10,196.098,646
2018,16-Jan-18,11,268.05,680
2018,16-Jan-18,12,342.018,742
2018,16-Jan-18,13,294.435,704
2018,16-Jan-18,14,220.418,667
2018,16-Jan-18,15,116.533,606
2018,16-Jan-18,16,51.97,565
2018,16-Jan-18,17,4.267,441
2018,16-Jan-18,18,,
2018,16-Jan-18,19,,
2018,16-Jan-18,20,,
2018,16-Jan-18,21,,
2018,16-Jan-18,22,,
2018,16-Jan-18,23,,
2018,16-Jan-18,24,,
2018,17-Jan-18,1,,
2018,17-Jan-18,2,,
2018,17-Jan-18,3,,
2018,17-Jan-18,4,,
2018,17-Jan-18,5,,
2018,17-Jan-18,6,,
2018,17-Jan-18,7,0.214,7
2018,17-Jan-18,8,0.197,8
2018,17-Jan-18,9,0.643,69
2018,17-Jan-18,10,3.209,193
2018,17-Jan-18,11,8.382,304
2018,17-Jan-18,12,14.345,361
2018,17-Jan-18,13,16.923,353
2018,17-Jan-18,14,15.627,337
2018,17-Jan-18,15,12.592,303
2018,17-Jan-18,16,5.231,215
2018,17-Jan-18,17,0.284,35
2018,17-Jan-18,18,,
2018,17-Jan-18,19,,
2018,17-Jan-18,20,,
2018,17-Jan-18,21,,
2018,17-Jan-18,22,,
2018,17-Jan-18,23,,
2018,17-Jan-18,24,,
2018,18-Jan-18,1,,
2018,18-Jan-18,2,,
2018,18-Jan-18,3,,
2018,18-Jan-18,4,,
2018,18-Jan-18,5,,
2018,18-Jan-18,6,,
2018,18-Jan-18,7,0.256,6
2018,18-Jan-18,8,4.12,153
2018,18-Jan-18,9,36.242,413
2018,18-Jan-18,10,106.317,542
2018,18-Jan-18,11,189.587,583
2018,18-Jan-18,12,259.073,599
2018,18-Jan-18,13,292.247,621
2018,18-Jan-18,14,278.513,617
2018,18-Jan-18,15,197.707,580
2018,18-Jan-18,16,76.282,474
2018,18-Jan-18,17,6.233,314
2018,18-Jan-18,18,,
2018,18-Jan-18,19,,
2018,18-Jan-18,20,,
2018,18-Jan-18,21,,
2018,18-Jan-18,22,,
2018,18-Jan-18,23,,
2018,18-Jan-18,24,,
2018,19-Jan-18,1,,
2018,19-Jan-18,2,,
2018,19-Jan-18,3,,
2018,19-Jan-18,4,,
2018,19-Jan-18,5,,
2018,19-Jan-18,6,,
2018,19-Jan-18,7,0.116,5
2018,19-Jan-18,8,10.131,319
2018,19-Jan-18,9,77.041,456
2018,19-Jan-18,10,166.375,548
2018,19-Jan-18,11,249.619,591
2018,19-Jan-18,12,292.141,609
2018,19-Jan-18,13,308.939,620
2018,19-Jan-18,14,251.4,600
2018,19-Jan-18,15,136.493,555
2018,19-Jan-18,16,62.841,488
2018,19-Jan-18,17,6.803,353
2018,19-Jan-18,18,,
2018,19-Jan-18,19,,
2018,19-Jan-18,20,,
2018,19-Jan-18,21,,
2018,19-Jan-18,22,,
2018,19-Jan-18,23,,
2018,19-Jan-18,24,,
2018,20-Jan-18,1,,
2018,20-Jan-18,2,,
2018,20-Jan-18,3,,
2018,20-Jan-18,4,,
2018,20-Jan-18,5,,
2018,20-Jan-18,6,,
2018,20-Jan-18,7,0.221,7
2018,20-Jan-18,8,12.655,373
2018,20-Jan-18,9,92.888,530
2018,20-Jan-18,10,209.101,631
2018,20-Jan-18,11,263.171,663
2018,20-Jan-18,12,284.921,679
2018,20-Jan-18,13,306.442,722
2018,20-Jan-18,14,312.924,748
2018,20-Jan-18,15,210.561,723
2018,20-Jan-18,16,100.514,640
2018,20-Jan-18,17,13.656,535
2018,20-Jan-18,18,,
2018,20-Jan-18,19,,
2018,20-Jan-18,20,,
2018,20-Jan-18,21,,
2018,20-Jan-18,22,,
2018,20-Jan-18,23,,
2018,20-Jan-18,24,,
2018,21-Jan-18,1,,
2018,21-Jan-18,2,,
2018,21-Jan-18,3,,
2018,21-Jan-18,4,,
2018,21-Jan-18,5,,
2018,21-Jan-18,6,,
2018,21-Jan-18,7,0.299,6
2018,21-Jan-18,8,20.487,548
2018,21-Jan-18,9,130.589,691
2018,21-Jan-18,10,326.084,807
2018,21-Jan-18,11,482.604,869
2018,21-Jan-18,12,552.348,882
2018,21-Jan-18,13,545.346,893
2018,21-Jan-18,14,485.279,883
2018,21-Jan-18,15,330.97,841
2018,21-Jan-18,16,131.776,710
2018,21-Jan-18,17,18.128,567
2018,21-Jan-18,18,,
2018,21-Jan-18,19,,
2018,21-Jan-18,20,,
2018,21-Jan-18,21,,
2018,21-Jan-18,22,,
2018,21-Jan-18,23,,
2018,21-Jan-18,24,,
2018,22-Jan-18,1,,
2018,22-Jan-18,2,,
2018,22-Jan-18,3,,
2018,22-Jan-18,4,,
2018,22-Jan-18,5,,
2018,22-Jan-18,6,,
2018,22-Jan-18,7,0.274,6
2018,22-Jan-18,8,0.497,55
2018,22-Jan-18,9,8.264,493
2018,22-Jan-18,10,26.574,562
2018,22-Jan-18,11,37.756,573
2018,22-Jan-18,12,39.26,577
2018,22-Jan-18,13,37.182,573
2018,22-Jan-18,14,29.907,566
2018,22-Jan-18,15,19.396,560
2018,22-Jan-18,16,8.597,501
2018,22-Jan-18,17,0.407,60
2018,22-Jan-18,18,,
2018,22-Jan-18,19,,
2018,22-Jan-18,20,,
2018,22-Jan-18,21,,
2018,22-Jan-18,22,,
2018,22-Jan-18,23,,
2018,22-Jan-18,24,,
2018,23-Jan-18,1,,
2018,23-Jan-18,2,,
2018,23-Jan-18,3,,
2018,23-Jan-18,4,,
2018,23-Jan-18,5,,
2018,23-Jan-18,6,,
2018,23-Jan-18,7,0.209,6
2018,23-Jan-18,8,0.892,145
2018,23-Jan-18,9,7.511,399
2018,23-Jan-18,10,12.015,485
2018,23-Jan-18,11,21.55,542
2018,23-Jan-18,12,21.43,528
2018,23-Jan-18,13,25.606,558
2018,23-Jan-18,14,17.366,530
2018,23-Jan-18,15,21.39,427
2018,23-Jan-18,16,28.973,496
2018,23-Jan-18,17,5.726,347
2018,23-Jan-18,18,,
2018,23-Jan-18,19,,
2018,23-Jan-18,20,,
2018,23-Jan-18,21,,
2018,23-Jan-18,22,,
2018,23-Jan-18,23,,
2018,23-Jan-18,24,,
2018,24-Jan-18,1,,
2018,24-Jan-18,2,,
2018,24-Jan-18,3,,
2018,24-Jan-18,4,,
2018,24-Jan-18,5,,
2018,24-Jan-18,6,,
2018,24-Jan-18,7,0.277,6
2018,24-Jan-18,8,17.582,528
2018,24-Jan-18,9,111.194,603
2018,24-Jan-18,10,168.737,647
2018,24-Jan-18,11,279.372,711
2018,24-Jan-18,12,428.983,805
2018,24-Jan-18,13,537.181,834
2018,24-Jan-18,14,507.993,812
2018,24-Jan-18,15,382.293,753
2018,24-Jan-18,16,165.072,627
