year,local_day,local_hour_end,tot_wind_mwh,_FREQ_
2018,26-Jan-18,23,339.442,49
2018,26-Jan-18,24,402.406,51
2018,27-Jan-18,01,501.19,51
2018,27-Jan-18,02,547.884,51
2018,27-Jan-18,03,723.41,51
2018,27-Jan-18,04,741.604,51
2018,27-Jan-18,05,745.12,51
2018,27-Jan-18,06,760.326,51
2018,27-Jan-18,07,777.339,52
2018,27-Jan-18,08,797.925,54
2018,27-Jan-18,09,799.721,54
2018,27-Jan-18,10,788.521,57
2018,27-Jan-18,11,776.801,57
2018,27-Jan-18,12,727.283,59
2018,27-Jan-18,13,741.458,60
2018,27-Jan-18,14,733.092,59
2018,27-Jan-18,15,720.77,59
2018,27-Jan-18,16,666.705,57
2018,27-Jan-18,17,708.161,57
2018,27-Jan-18,18,797.248,56
2018,27-Jan-18,19,843.298,56
2018,27-Jan-18,20,795.707,56
2018,27-Jan-18,21,634.774,56
2018,27-Jan-18,22,649.679,56
2018,27-Jan-18,23,770.774,54
2018,27-Jan-18,24,726.265,55
2018,28-Jan-18,01,741.129,55
2018,28-Jan-18,02,748.094,54
2018,28-Jan-18,03,731.301,52
2018,28-Jan-18,04,684.126,52
2018,28-Jan-18,05,695.08,50
2018,28-Jan-18,06,728.646,50
2018,28-Jan-18,07,735.525,51
2018,28-Jan-18,08,736.614,48
2018,28-Jan-18,09,712.463,50
2018,28-Jan-18,10,632.685,48
2018,28-Jan-18,11,547.153,46
2018,28-Jan-18,12,549.427,43
2018,28-Jan-18,13,573.192,42
2018,28-Jan-18,14,600.473,40
2018,28-Jan-18,15,638.889,42
2018,28-Jan-18,16,598.476,40
2018,28-Jan-18,17,623.566,38
2018,28-Jan-18,18,652.829,36
2018,28-Jan-18,19,694.445,39
2018,28-Jan-18,20,604.049,39
2018,28-Jan-18,21,463.448,40
2018,28-Jan-18,22,404.902,44
2018,28-Jan-18,23,313.459,46
2018,28-Jan-18,24,253.609,47
2018,29-Jan-18,01,236.291,43
2018,29-Jan-18,02,260.827,44
2018,29-Jan-18,03,230.191,43
2018,29-Jan-18,04,226.602,42
2018,29-Jan-18,05,242.994,39
2018,29-Jan-18,06,288.424,42
2018,29-Jan-18,07,296.102,42
2018,29-Jan-18,08,287.858,40
2018,29-Jan-18,09,230.453,42
2018,29-Jan-18,10,171.591,43
2018,29-Jan-18,11,135.232,43
2018,29-Jan-18,12,127.037,44
2018,29-Jan-18,13,116.91,42
2018,29-Jan-18,14,117.233,44
2018,29-Jan-18,15,133.847,48
2018,29-Jan-18,16,163.447,49
2018,29-Jan-18,17,213.511,52
2018,29-Jan-18,18,313.279,53
2018,29-Jan-18,19,387.672,54
2018,29-Jan-18,20,403.779,53
2018,29-Jan-18,21,379.642,55
2018,29-Jan-18,22,393.975,55
2018,29-Jan-18,23,390.998,54
2018,29-Jan-18,24,404.058,57
2018,30-Jan-18,01,429.598,55
2018,30-Jan-18,02,464.06,54
2018,30-Jan-18,03,466.488,52
2018,30-Jan-18,04,492.476,50
2018,30-Jan-18,05,485.73,50
2018,30-Jan-18,06,486.04,51
2018,30-Jan-18,07,462.28,48
2018,30-Jan-18,08,472.618,47
2018,30-Jan-18,09,476.511,50
2018,30-Jan-18,10,473.478,50
2018,30-Jan-18,11,485.414,51
2018,30-Jan-18,12,549.167,51
2018,30-Jan-18,13,617.502,51
2018,30-Jan-18,14,709.105,49
2018,30-Jan-18,15,745.547,50
2018,30-Jan-18,16,807.945,49
2018,30-Jan-18,17,857.555,49
2018,30-Jan-18,18,902.284,52
2018,30-Jan-18,19,928.656,50
2018,30-Jan-18,20,917.747,51
2018,30-Jan-18,21,929.072,50
2018,30-Jan-18,22,915.284,54
2018,30-Jan-18,23,819.959,55
2018,30-Jan-18,24,906.809,55
2018,31-Jan-18,01,828.406,53
2018,31-Jan-18,02,871.408,52
2018,31-Jan-18,03,910.071,53
2018,31-Jan-18,04,929.851,50
2018,31-Jan-18,05,907.958,50
2018,31-Jan-18,06,895.153,48
2018,31-Jan-18,07,913.638,47
2018,31-Jan-18,08,860.448,47
2018,31-Jan-18,09,756.459,47
2018,31-Jan-18,10,738.999,49
2018,31-Jan-18,11,632.609,48
2018,31-Jan-18,12,569.585,49
